pi1_time,pi1_time,pi1_time,pi2_parent,pi2_time,pi3_parent,pi3_time,pi4_parent,pi4_time,pi5_parent,pi5_time,pi6_parent,pi6_time,pi7_parent,pi7_time,pi8_parent,pi8_time,pi9_parent,pi9_time,pi10_parent,pi10_time
2694,root,,9,Tue 18 Feb 16:42:11 EST 2020,1,Tue 18 Feb 16:41:28 EST 2020,10,Tue 18 Feb 16:41:56 EST 2020,10,Tue 18 Feb 16:41:37 EST 2020,2,Tue 18 Feb 2020 04:42:32 PM EST,1,Tue 18 Feb 16:42:05 EST 2020,5,Tue 18 Feb 15:35:38 EST 2020,3,Tue Feb 18 21:41:42 UTC 2020,1,Tue 18 Feb 16:41:15 EST 2020
2683,root,,1,Tue 18 Feb 16:08:00 EST 2020,7,Tue 18 Feb 16:08:53 EST 2020,1,Tue 18 Feb 16:08:38 EST 2020,8,Tue 18 Feb 16:08:54 EST 2020,1,Tue 18 Feb 16:09:05 EST 2020,2,Tue 18 Feb 2020 04:08:14 PM EST,1,Tue 18 Feb 16:08:25 EST 2020,7,Tue 18 Feb 16:08:38 EST 2020,2,Tue 18 Feb 2020 04:08:44 PM EST
2669,root,,1,Tue 18 Feb 15:26:45 EST 2020,2,Tue 18 Feb 2020 03:27:12 PM EST,9,Tue 18 Feb 15:27:35 EST 2020,2,Tue 18 Feb 2020 03:27:24 PM EST,10,Tue 18 Feb 15:27:18 EST 2020,3,Tue Feb 18 20:27:24 UTC 2020,9,Tue 18 Feb 15:27:22 EST 2020,1,Tue 18 Feb 15:27:11 EST 2020,2,Tue 18 Feb 2020 03:26:59 PM EST
2665,root,,6,Tue 18 Feb 15:15:16 EST 2020,1,Tue 18 Feb 15:15:08 EST 2020,7,Tue 18 Feb 15:14:46 EST 2020,8,Tue 18 Feb 15:15:13 EST 2020,9,Tue 18 Feb 15:15:00 EST 2020,1,Tue 18 Feb 15:14:14 EST 2020,1,Tue 18 Feb 15:14:36 EST 2020,7,Tue 18 Feb 15:14:24 EST 2020,1,Tue 18 Feb 15:14:55 EST 2020
2676,root,,9,Tue 18 Feb 15:47:44 EST 2020,8,Tue 18 Feb 15:47:40 EST 2020,1,Tue 18 Feb 15:47:15 EST 2020,1,Tue 18 Feb 15:47:49 EST 2020,9,Tue 18 Feb 15:47:59 EST 2020,8,Tue 18 Feb 15:47:55 EST 2020,1,Tue 18 Feb 15:47:02 EST 2020,4,Tue 18 Feb 15:47:26 EST 2020,8,Tue 18 Feb 15:47:27 EST 2020
2687,root,,10,Tue 18 Feb 16:20:24 EST 2020,1,Tue 18 Feb 16:19:30 EST 2020,10,Tue 18 Feb 16:19:49 EST 2020,1,Tue 18 Feb 16:19:43 EST 2020,5,Tue 18 Feb 15:14:05 EST 2020,3,Tue Feb 18 21:20:07 UTC 2020,3,Tue Feb 18 21:19:42 UTC 2020,10,Tue 18 Feb 16:20:10 EST 2020,1,Tue 18 Feb 16:19:18 EST 2020
2664,root,,7,Tue 18 Feb 15:11:47 EST 2020,1,Tue 18 Feb 15:11:02 EST 2020,10,Tue 18 Feb 15:11:26 EST 2020,10,Tue 18 Feb 15:11:09 EST 2020,7,Tue 18 Feb 15:11:00 EST 2020,1,Tue 18 Feb 15:10:34 EST 2020,1,Tue 18 Feb 15:11:22 EST 2020,3,Tue Feb 18 20:11:14 UTC 2020,1,Tue 18 Feb 15:10:49 EST 2020
2681,root,,3,Tue Feb 18 21:03:02 UTC 2020,1,Tue 18 Feb 16:02:04 EST 2020,10,Tue 18 Feb 16:02:45 EST 2020,1,Tue 18 Feb 16:02:17 EST 2020,1,Tue 18 Feb 16:02:50 EST 2020,8,Tue 18 Feb 16:02:55 EST 2020,10,Tue 18 Feb 16:02:32 EST 2020,10,Tue 18 Feb 16:02:07 EST 2020,1,Tue 18 Feb 16:01:52 EST 2020
2679,root,,10,Tue 18 Feb 15:57:11 EST 2020,1,Tue 18 Feb 15:56:53 EST 2020,9,Tue 18 Feb 15:56:37 EST 2020,1,Tue 18 Feb 15:57:06 EST 2020,8,Tue 18 Feb 15:57:24 EST 2020,4,Tue 18 Feb 15:56:59 EST 2020,9,Tue 18 Feb 15:56:24 EST 2020,1,Tue 18 Feb 15:56:13 EST 2020,1,Tue 18 Feb 15:56:41 EST 2020
2704,root,,1,Tue 18 Feb 17:12:09 EST 2020,9,Tue 18 Feb 17:13:20 EST 2020,6,Tue 18 Feb 17:13:02 EST 2020,1,Tue 18 Feb 17:13:26 EST 2020,2,Tue 18 Feb 2020 05:12:26 PM EST,2,Tue 18 Feb 2020 05:12:43 PM EST,6,Tue 18 Feb 17:12:49 EST 2020,1,Tue 18 Feb 17:12:48 EST 2020,1,Tue 18 Feb 17:13:13 EST 2020
