exp_no,pi1_parent,pi1_time,pi2_parent,pi2_time,pi3_parent,pi3_time,pi4_parent,pi4_time,pi5_parent,pi5_time,pi6_parent,pi6_time,pi7_parent,pi7_time,pi8_parent,pi8_time,pi9_parent,pi9_time,pi10_parent,pi10_time
2584,root,,1,Tue 18 Feb 11:14:17 EST 2020,2,Tue 18 Feb 2020 11:14:51 AM EST,2,Tue 18 Feb 2020 11:15:09 AM EST,7,Tue 18 Feb 11:15:01 EST 2020,3,Tue Feb 18 16:15:18 UTC 2020,2,Tue 18 Feb 2020 11:14:29 AM EST,9,Tue 18 Feb 11:15:00 EST 2020,1,Tue 18 Feb 11:14:38 EST 2020,7,Tue 18 Feb 11:14:47 EST 2020
2585,root,,4,Tue 18 Feb 11:18:04 EST 2020,4,Tue 18 Feb 11:17:46 EST 2020,1,Tue 18 Feb 11:17:18 EST 2020,1,Tue 18 Feb 11:17:52 EST 2020,1,Tue 18 Feb 11:17:00 EST 2020,6,Tue 18 Feb 11:17:47 EST 2020,6,Tue 18 Feb 11:17:13 EST 2020,4,Tue 18 Feb 11:17:29 EST 2020,1,Tue 18 Feb 11:17:39 EST 2020
2586,root,,1,Tue 18 Feb 11:20:02 EST 2020,1,Tue 18 Feb 11:20:54 EST 2020,10,Tue 18 Feb 11:21:06 EST 2020,2,Tue 18 Feb 2020 11:20:55 AM EST,5,Tue 18 Feb 10:15:05 EST 2020,3,Tue Feb 18 16:21:11 UTC 2020,10,Tue 18 Feb 11:20:54 EST 2020,1,Tue 18 Feb 11:20:38 EST 2020,2,Tue 18 Feb 2020 11:20:42 AM EST
2587,root,,1,Tue 18 Feb 11:23:34 EST 2020,1,Tue 18 Feb 11:23:09 EST 2020,10,Tue 18 Feb 11:23:23 EST 2020,1,Tue 18 Feb 11:23:22 EST 2020,2,Tue 18 Feb 2020 11:23:44 AM EST,3,Tue Feb 18 16:23:29 UTC 2020,10,Tue 18 Feb 11:23:10 EST 2020,7,Tue 18 Feb 11:23:46 EST 2020,1,Tue 18 Feb 11:22:56 EST 2020
2588,root,,10,Tue 18 Feb 11:26:17 EST 2020,1,Tue 18 Feb 11:26:16 EST 2020,2,Tue 18 Feb 2020 11:26:41 AM EST,2,Tue 18 Feb 2020 11:26:28 AM EST,7,Tue 18 Feb 11:26:04 EST 2020,1,Tue 18 Feb 11:25:42 EST 2020,10,Tue 18 Feb 11:26:39 EST 2020,6,Tue 18 Feb 11:26:26 EST 2020,1,Tue 18 Feb 11:26:03 EST 2020
2589,root,,1,Tue 18 Feb 11:28:56 EST 2020,1,Tue 18 Feb 11:29:22 EST 2020,2,Tue 18 Feb 2020 11:29:28 AM EST,3,Tue Feb 18 16:29:33 UTC 2020,1,Tue 18 Feb 11:29:44 EST 2020,10,Tue 18 Feb 11:29:32 EST 2020,2,Tue 18 Feb 2020 11:29:15 AM EST,4,Tue 18 Feb 11:29:40 EST 2020,1,Tue 18 Feb 11:29:09 EST 2020
2590,root,,1,Tue 18 Feb 11:32:17 EST 2020,1,Tue 18 Feb 11:32:00 EST 2020,1,Tue 18 Feb 11:32:54 EST 2020,10,Tue 18 Feb 11:32:11 EST 2020,10,Tue 18 Feb 11:32:32 EST 2020,2,Tue 18 Feb 2020 11:32:28 AM EST,1,Tue 18 Feb 11:32:41 EST 2020,3,Tue Feb 18 16:32:41 UTC 2020,1,Tue 18 Feb 11:31:48 EST 2020
2591,root,,6,Tue 18 Feb 11:35:24 EST 2020,9,Tue 18 Feb 11:35:27 EST 2020,7,Tue 18 Feb 11:35:35 EST 2020,2,Tue 18 Feb 2020 11:35:34 AM EST,1,Tue 18 Feb 11:35:15 EST 2020,1,Tue 18 Feb 11:35:01 EST 2020,7,Tue 18 Feb 11:35:23 EST 2020,1,Tue 18 Feb 11:34:46 EST 2020,9,Tue 18 Feb 11:35:14 EST 2020
2592,root,,1,Tue 18 Feb 11:38:03 EST 2020,1,Tue 18 Feb 11:37:35 EST 2020,5,Tue 18 Feb 10:31:51 EST 2020,1,Tue 18 Feb 11:37:48 EST 2020,10,Tue 18 Feb 11:37:43 EST 2020,10,Tue 18 Feb 11:38:14 EST 2020,6,Tue 18 Feb 11:37:51 EST 2020,8,Tue 18 Feb 11:38:23 EST 2020,1,Tue 18 Feb 11:37:23 EST 2020
2593,root,,9,Tue 18 Feb 11:40:22 EST 2020,9,Tue 18 Feb 11:41:05 EST 2020,6,Tue 18 Feb 11:41:04 EST 2020,1,Tue 18 Feb 11:41:17 EST 2020,2,Tue 18 Feb 2020 11:40:36 AM EST,2,Tue 18 Feb 2020 11:40:55 AM EST,6,Tue 18 Feb 11:40:51 EST 2020,1,Tue 18 Feb 11:40:09 EST 2020,9,Tue 18 Feb 11:40:52 EST 2020
2594,root,,1,Tue 18 Feb 11:43:39 EST 2020,2,Tue 18 Feb 2020 11:44:07 AM EST,1,Tue 18 Feb 11:44:18 EST 2020,6,Tue 18 Feb 11:44:19 EST 2020,10,Tue 18 Feb 11:44:06 EST 2020,1,Tue 18 Feb 11:43:18 EST 2020,7,Tue 18 Feb 11:44:12 EST 2020,1,Tue 18 Feb 11:43:56 EST 2020,2,Tue 18 Feb 2020 11:43:54 AM EST
2595,root,,1,Tue 18 Feb 11:47:01 EST 2020,1,Tue 18 Feb 11:46:41 EST 2020,3,Tue Feb 18 16:47:24 UTC 2020,7,Tue 18 Feb 11:46:53 EST 2020,7,Tue 18 Feb 11:46:28 EST 2020,1,Tue 18 Feb 11:46:07 EST 2020,1,Tue 18 Feb 11:47:17 EST 2020,7,Tue 18 Feb 11:47:17 EST 2020,1,Tue 18 Feb 11:46:28 EST 2020
2596,root,,1,Tue 18 Feb 11:49:26 EST 2020,4,Tue 18 Feb 11:50:10 EST 2020,2,Tue 18 Feb 2020 11:49:48 AM EST,1,Tue 18 Feb 11:50:12 EST 2020,1,Tue 18 Feb 11:49:40 EST 2020,1,Tue 18 Feb 11:50:26 EST 2020,2,Tue 18 Feb 2020 11:49:35 AM EST,6,Tue 18 Feb 11:50:31 EST 2020,8,Tue 18 Feb 11:50:05 EST 2020
2597,root,,3,Tue Feb 18 16:53:04 UTC 2020,1,Tue 18 Feb 11:52:50 EST 2020,7,Tue 18 Feb 11:52:49 EST 2020,1,Tue 18 Feb 11:53:03 EST 2020,8,Tue 18 Feb 11:53:02 EST 2020,1,Tue 18 Feb 11:52:24 EST 2020,7,Tue 18 Feb 11:52:36 EST 2020,10,Tue 18 Feb 11:52:52 EST 2020,1,Tue 18 Feb 11:52:38 EST 2020
2598,root,,10,Tue 18 Feb 11:55:34 EST 2020,1,Tue 18 Feb 11:55:26 EST 2020,7,Tue 18 Feb 11:55:38 EST 2020,1,Tue 18 Feb 11:55:39 EST 2020,5,Tue 18 Feb 10:49:49 EST 2020,1,Tue 18 Feb 11:54:58 EST 2020,7,Tue 18 Feb 11:55:25 EST 2020,2,Tue 18 Feb 2020 11:55:54 AM EST,1,Tue 18 Feb 11:55:14 EST 2020
