pi1_time,pi1_time,pi1_time,pi2_parent,pi2_time,pi3_parent,pi3_time,pi4_parent,pi4_time,pi5_parent,pi5_time,pi6_parent,pi6_time,pi7_parent,pi7_time,pi8_parent,pi8_time,pi9_parent,pi9_time,pi10_parent,pi10_time
3096,root,,7,Fri 21 Feb 12:04:08 EST 2020,6,Fri 21 Feb 12:04:46 EST 2020,9,Fri 21 Feb 12:04:39 EST 2020,1,Fri 21 Feb 12:04:57 EST 2020,1,Fri 21 Feb 12:04:22 EST 2020,1,Fri 21 Feb 12:03:52 EST 2020,7,Fri 21 Feb 12:04:38 EST 2020,1,Fri 21 Feb 12:04:06 EST 2020,6,Fri 21 Feb 12:04:34 EST 2020
3102,root,,1,Fri 21 Feb 12:21:26 EST 2020,8,Fri 21 Feb 12:22:01 EST 2020,1,Fri 21 Feb 12:21:09 EST 2020,9,Fri 21 Feb 12:22:03 EST 2020,2,Fri 21 Feb 2020 12:21:45 PM EST,8,Fri 21 Feb 12:21:35 EST 2020,1,Fri 21 Feb 12:20:56 EST 2020,4,Fri 21 Feb 12:21:28 EST 2020,2,Fri 21 Feb 2020 12:22:00 PM EST
3079,root,,1,Fri 21 Feb 11:14:31 EST 2020,6,Fri 21 Feb 11:15:09 EST 2020,6,Fri 21 Feb 11:14:54 EST 2020,8,Fri 21 Feb 11:15:10 EST 2020,1,Fri 21 Feb 11:14:16 EST 2020,1,Fri 21 Feb 11:15:04 EST 2020,2,Fri 21 Feb 2020 11:14:48 AM EST,1,Fri 21 Feb 11:13:57 EST 2020,9,Fri 21 Feb 11:14:58 EST 2020
3086,root,,3,Fri Feb 21 16:35:04 UTC 2020,6,Fri 21 Feb 11:34:30 EST 2020,3,Fri Feb 21 16:34:49 UTC 2020,1,Fri 21 Feb 11:34:34 EST 2020,1,Fri 21 Feb 11:34:03 EST 2020,5,Fri 21 Feb 10:28:57 EST 2020,6,Fri 21 Feb 11:34:46 EST 2020,10,Fri 21 Feb 11:34:59 EST 2020,1,Fri 21 Feb 11:34:21 EST 2020
3084,root,,1,Fri 21 Feb 11:28:49 EST 2020,2,Fri 21 Feb 2020 11:29:01 AM EST,1,Fri 21 Feb 11:29:21 EST 2020,9,Fri 21 Feb 11:29:08 EST 2020,1,Fri 21 Feb 11:28:30 EST 2020,6,Fri 21 Feb 11:29:02 EST 2020,2,Fri 21 Feb 2020 11:29:19 AM EST,6,Fri 21 Feb 11:28:39 EST 2020,9,Fri 21 Feb 11:28:55 EST 2020
3097,root,,10,Fri 21 Feb 12:07:24 EST 2020,1,Fri 21 Feb 12:06:53 EST 2020,3,Fri Feb 21 17:07:23 UTC 2020,1,Fri 21 Feb 12:07:06 EST 2020,1,Fri 21 Feb 12:07:29 EST 2020,5,Fri 21 Feb 11:01:06 EST 2020,9,Fri 21 Feb 12:07:14 EST 2020,10,Fri 21 Feb 12:06:54 EST 2020,1,Fri 21 Feb 12:06:40 EST 2020
3098,root,,1,Fri 21 Feb 12:09:12 EST 2020,1,Fri 21 Feb 12:09:43 EST 2020,1,Fri 21 Feb 12:10:21 EST 2020,10,Fri 21 Feb 12:09:44 EST 2020,7,Fri 21 Feb 12:09:53 EST 2020,2,Fri 21 Feb 2020 12:09:25 PM EST,5,Fri 21 Feb 11:04:07 EST 2020,2,Fri 21 Feb 2020 12:09:53 PM EST,1,Fri 21 Feb 12:09:30 EST 2020
3111,root,,1,Fri 21 Feb 12:47:19 EST 2020,2,Fri 21 Feb 2020 12:47:53 PM EST,1,Fri 21 Feb 12:48:00 EST 2020,10,Fri 21 Feb 12:47:56 EST 2020,10,Fri 21 Feb 12:48:12 EST 2020,4,Fri 21 Feb 12:48:31 EST 2020,1,Fri 21 Feb 12:47:48 EST 2020,3,Fri Feb 21 17:48:06 UTC 2020,2,Fri 21 Feb 2020 12:47:40 PM EST
3087,root,,1,Fri 21 Feb 11:37:08 EST 2020,2,Fri 21 Feb 2020 11:38:01 AM EST,10,Fri 21 Feb 11:38:27 EST 2020,6,Fri 21 Feb 11:38:06 EST 2020,1,Fri 21 Feb 11:37:42 EST 2020,1,Fri 21 Feb 11:37:28 EST 2020,2,Fri 21 Feb 2020 11:38:24 AM EST,1,Fri 21 Feb 11:38:02 EST 2020,2,Fri 21 Feb 2020 11:37:48 AM EST
3083,root,,9,Fri 21 Feb 11:25:49 EST 2020,7,Fri 21 Feb 11:26:27 EST 2020,2,Fri 21 Feb 2020 11:26:30 AM EST,9,Fri 21 Feb 11:26:30 EST 2020,2,Fri 21 Feb 2020 11:26:08 AM EST,1,Fri 21 Feb 11:25:52 EST 2020,1,Fri 21 Feb 11:26:26 EST 2020,1,Fri 21 Feb 11:25:35 EST 2020,9,Fri 21 Feb 11:26:17 EST 2020
