pi1_time,pi1_time,pi1_time,pi2_parent,pi2_time,pi3_parent,pi3_time,pi4_parent,pi4_time,pi5_parent,pi5_time,pi6_parent,pi6_time,pi7_parent,pi7_time,pi8_parent,pi8_time,pi9_parent,pi9_time,pi10_parent,pi10_time
2978,root,,10,Thu 20 Feb 14:17:20 EST 2020,1,Thu 20 Feb 14:17:07 EST 2020,6,Thu 20 Feb 14:16:40 EST 2020,8,Thu 20 Feb 14:17:10 EST 2020,1,Thu 20 Feb 14:16:18 EST 2020,6,Thu 20 Feb 14:17:16 EST 2020,6,Thu 20 Feb 14:16:27 EST 2020,4,Thu 20 Feb 14:17:01 EST 2020,1,Thu 20 Feb 14:16:54 EST 2020
2984,root,,1,Thu 20 Feb 14:34:04 EST 2020,1,Thu 20 Feb 14:34:46 EST 2020,2,Thu 20 Feb 2020 02:34:47 PM EST,8,Thu 20 Feb 14:34:56 EST 2020,2,Thu 20 Feb 2020 02:34:13 PM EST,6,Thu 20 Feb 14:35:01 EST 2020,2,Thu 20 Feb 2020 02:34:34 PM EST,4,Thu 20 Feb 14:34:56 EST 2020,8,Thu 20 Feb 14:34:43 EST 2020
2977,root,,1,Thu 20 Feb 14:13:26 EST 2020,2,Thu 20 Feb 2020 02:14:15 PM EST,2,Thu 20 Feb 2020 02:13:58 PM EST,1,Thu 20 Feb 14:14:19 EST 2020,1,Thu 20 Feb 14:13:56 EST 2020,8,Thu 20 Feb 14:14:05 EST 2020,2,Thu 20 Feb 2020 02:13:45 PM EST,10,Thu 20 Feb 14:14:30 EST 2020,6,Thu 20 Feb 14:14:11 EST 2020
2956,root,,1,Thu 20 Feb 13:11:17 EST 2020,1,Thu 20 Feb 13:12:34 EST 2020,9,Thu 20 Feb 13:12:45 EST 2020,2,Thu 20 Feb 2020 01:12:37 PM EST,1,Thu 20 Feb 13:12:11 EST 2020,9,Thu 20 Feb 13:12:18 EST 2020,9,Thu 20 Feb 13:12:33 EST 2020,1,Thu 20 Feb 13:11:43 EST 2020,2,Thu 20 Feb 2020 01:12:24 PM EST
2953,root,,9,Thu 20 Feb 13:03:17 EST 2020,6,Thu 20 Feb 13:02:56 EST 2020,5,Thu 20 Feb 11:57:33 EST 2020,6,Thu 20 Feb 13:03:09 EST 2020,1,Thu 20 Feb 13:02:30 EST 2020,10,Thu 20 Feb 13:03:33 EST 2020,3,Thu Feb 20 18:03:40 UTC 2020,1,Thu 20 Feb 13:02:57 EST 2020,6,Thu 20 Feb 13:02:44 EST 2020
2955,root,,1,Thu 20 Feb 13:08:38 EST 2020,10,Thu 20 Feb 13:09:18 EST 2020,2,Thu 20 Feb 2020 01:09:00 PM EST,8,Thu 20 Feb 13:09:19 EST 2020,1,Thu 20 Feb 13:08:55 EST 2020,1,Thu 20 Feb 13:09:16 EST 2020,2,Thu 20 Feb 2020 01:08:47 PM EST,2,Thu 20 Feb 2020 01:09:29 PM EST,8,Thu 20 Feb 13:09:06 EST 2020
2976,root,,1,Thu 20 Feb 14:10:18 EST 2020,1,Thu 20 Feb 14:11:18 EST 2020,2,Thu 20 Feb 2020 02:11:26 PM EST,9,Thu 20 Feb 14:11:23 EST 2020,2,Thu 20 Feb 2020 02:10:42 PM EST,10,Thu 20 Feb 14:11:36 EST 2020,2,Thu 20 Feb 2020 02:11:13 PM EST,1,Thu 20 Feb 14:10:43 EST 2020,1,Thu 20 Feb 14:11:05 EST 2020
2979,root,,6,Thu 20 Feb 14:20:00 EST 2020,1,Thu 20 Feb 14:19:20 EST 2020,10,Thu 20 Feb 14:19:30 EST 2020,1,Thu 20 Feb 14:19:33 EST 2020,8,Thu 20 Feb 14:19:30 EST 2020,3,Thu Feb 20 19:19:39 UTC 2020,10,Thu 20 Feb 14:19:18 EST 2020,7,Thu 20 Feb 14:20:02 EST 2020,1,Thu 20 Feb 14:19:07 EST 2020
2985,root,,10,Thu 20 Feb 14:37:18 EST 2020,1,Thu 20 Feb 14:37:02 EST 2020,2,Thu 20 Feb 2020 02:37:35 PM EST,1,Thu 20 Feb 14:37:15 EST 2020,7,Thu 20 Feb 14:37:25 EST 2020,10,Thu 20 Feb 14:37:03 EST 2020,3,Thu Feb 20 19:37:31 UTC 2020,1,Thu 20 Feb 14:37:47 EST 2020,1,Thu 20 Feb 14:36:49 EST 2020
2983,root,,9,Thu 20 Feb 14:31:58 EST 2020,1,Thu 20 Feb 14:31:41 EST 2020,9,Thu 20 Feb 14:32:16 EST 2020,6,Thu 20 Feb 14:31:47 EST 2020,1,Thu 20 Feb 14:31:01 EST 2020,6,Thu 20 Feb 14:31:22 EST 2020,1,Thu 20 Feb 14:32:13 EST 2020,10,Thu 20 Feb 14:31:38 EST 2020,1,Thu 20 Feb 14:31:29 EST 2020
2966,root,,1,Thu 20 Feb 13:42:03 EST 2020,6,Thu 20 Feb 13:41:41 EST 2020,7,Thu 20 Feb 13:41:56 EST 2020,10,Thu 20 Feb 13:41:53 EST 2020,1,Thu 20 Feb 13:41:18 EST 2020,1,Thu 20 Feb 13:41:35 EST 2020,3,Thu Feb 20 18:41:54 UTC 2020,6,Thu 20 Feb 13:42:02 EST 2020,6,Thu 20 Feb 13:41:28 EST 2020
2971,root,,10,Thu 20 Feb 13:56:14 EST 2020,1,Thu 20 Feb 13:56:12 EST 2020,10,Thu 20 Feb 13:57:01 EST 2020,1,Thu 20 Feb 13:56:25 EST 2020,10,Thu 20 Feb 13:56:38 EST 2020,3,Thu Feb 20 18:56:41 UTC 2020,2,Thu 20 Feb 2020 01:56:50 PM EST,5,Thu 20 Feb 12:50:25 EST 2020,1,Thu 20 Feb 13:55:59 EST 2020
2963,root,,1,Thu 20 Feb 13:32:56 EST 2020,2,Thu 20 Feb 2020 01:33:25 PM EST,9,Thu 20 Feb 13:33:37 EST 2020,10,Thu 20 Feb 13:33:27 EST 2020,1,Thu 20 Feb 13:33:29 EST 2020,6,Thu 20 Feb 13:33:43 EST 2020,9,Thu 20 Feb 13:33:24 EST 2020,1,Thu 20 Feb 13:33:13 EST 2020,2,Thu 20 Feb 2020 01:33:12 PM EST
2991,root,,8,Thu 20 Feb 14:55:58 EST 2020,1,Thu 20 Feb 14:56:23 EST 2020,1,Thu 20 Feb 14:55:56 EST 2020,4,Thu 20 Feb 14:56:27 EST 2020,1,Thu 20 Feb 14:55:31 EST 2020,9,Thu 20 Feb 14:56:18 EST 2020,1,Thu 20 Feb 14:55:44 EST 2020,4,Thu 20 Feb 14:56:07 EST 2020,1,Thu 20 Feb 14:56:10 EST 2020
2972,root,,3,Thu Feb 20 18:59:37 UTC 2020,7,Thu 20 Feb 13:59:18 EST 2020,1,Thu 20 Feb 13:59:53 EST 2020,7,Thu 20 Feb 13:59:31 EST 2020,10,Thu 20 Feb 13:59:44 EST 2020,1,Thu 20 Feb 13:58:50 EST 2020,1,Thu 20 Feb 13:59:40 EST 2020,10,Thu 20 Feb 13:59:19 EST 2020,7,Thu 20 Feb 13:59:05 EST 2020
2961,root,,9,Thu 20 Feb 13:27:41 EST 2020,4,Thu 20 Feb 13:27:35 EST 2020,1,Thu 20 Feb 13:27:10 EST 2020,1,Thu 20 Feb 13:27:39 EST 2020,7,Thu 20 Feb 13:27:01 EST 2020,9,Thu 20 Feb 13:26:50 EST 2020,9,Thu 20 Feb 13:27:09 EST 2020,1,Thu 20 Feb 13:26:32 EST 2020,1,Thu 20 Feb 13:27:26 EST 2020
2968,root,,6,Thu 20 Feb 13:47:34 EST 2020,2,Thu 20 Feb 2020 01:48:17 PM EST,8,Thu 20 Feb 13:48:01 EST 2020,1,Thu 20 Feb 13:48:25 EST 2020,1,Thu 20 Feb 13:47:18 EST 2020,6,Thu 20 Feb 13:48:34 EST 2020,1,Thu 20 Feb 13:47:51 EST 2020,4,Thu 20 Feb 13:48:44 EST 2020,1,Thu 20 Feb 13:48:12 EST 2020
2962,root,,1,Thu 20 Feb 13:30:19 EST 2020,7,Thu 20 Feb 13:30:55 EST 2020,2,Thu 20 Feb 2020 01:30:49 PM EST,1,Thu 20 Feb 13:31:06 EST 2020,9,Thu 20 Feb 13:30:28 EST 2020,1,Thu 20 Feb 13:30:44 EST 2020,2,Thu 20 Feb 2020 01:30:36 PM EST,1,Thu 20 Feb 13:30:01 EST 2020,9,Thu 20 Feb 13:30:53 EST 2020
2967,root,,7,Thu 20 Feb 13:44:38 EST 2020,9,Thu 20 Feb 13:45:10 EST 2020,7,Thu 20 Feb 13:44:55 EST 2020,9,Thu 20 Feb 13:45:22 EST 2020,9,Thu 20 Feb 13:44:20 EST 2020,1,Thu 20 Feb 13:44:17 EST 2020,1,Thu 20 Feb 13:44:45 EST 2020,1,Thu 20 Feb 13:43:54 EST 2020,9,Thu 20 Feb 13:44:57 EST 2020
2987,root,,9,Thu 20 Feb 14:43:26 EST 2020,7,Thu 20 Feb 14:43:43 EST 2020,6,Thu 20 Feb 14:43:32 EST 2020,1,Thu 20 Feb 14:43:44 EST 2020,9,Thu 20 Feb 14:42:46 EST 2020,1,Thu 20 Feb 14:42:56 EST 2020,6,Thu 20 Feb 14:43:19 EST 2020,1,Thu 20 Feb 14:42:36 EST 2020,7,Thu 20 Feb 14:43:30 EST 2020
2982,root,,9,Thu 20 Feb 14:28:32 EST 2020,1,Thu 20 Feb 14:28:25 EST 2020,6,Thu 20 Feb 14:28:56 EST 2020,1,Thu 20 Feb 14:28:37 EST 2020,9,Thu 20 Feb 14:28:17 EST 2020,10,Thu 20 Feb 14:28:30 EST 2020,7,Thu 20 Feb 14:28:56 EST 2020,1,Thu 20 Feb 14:27:50 EST 2020,1,Thu 20 Feb 14:28:12 EST 2020
2990,root,,1,Thu 20 Feb 14:52:41 EST 2020,1,Thu 20 Feb 14:53:09 EST 2020,7,Thu 20 Feb 14:53:08 EST 2020,2,Thu 20 Feb 2020 02:53:20 PM EST,8,Thu 20 Feb 14:53:06 EST 2020,1,Thu 20 Feb 14:52:28 EST 2020,7,Thu 20 Feb 14:52:55 EST 2020,1,Thu 20 Feb 14:53:23 EST 2020,2,Thu 20 Feb 2020 02:53:07 PM EST
2970,root,,8,Thu 20 Feb 13:53:26 EST 2020,9,Thu 20 Feb 13:54:08 EST 2020,1,Thu 20 Feb 13:53:23 EST 2020,4,Thu 20 Feb 13:54:10 EST 2020,2,Thu 20 Feb 2020 01:53:46 PM EST,2,Thu 20 Feb 2020 01:54:06 PM EST,1,Thu 20 Feb 13:53:10 EST 2020,4,Thu 20 Feb 13:53:41 EST 2020,9,Thu 20 Feb 13:53:56 EST 2020
