pi1_time,pi1_time,pi1_time,pi2_parent,pi2_time,pi3_parent,pi3_time,pi4_parent,pi4_time,pi5_parent,pi5_time,pi6_parent,pi6_time,pi7_parent,pi7_time,pi8_parent,pi8_time,pi9_parent,pi9_time,pi10_parent,pi10_time
3128,root,,1,Fri 21 Feb 13:37:20 EST 2020,1,Fri 21 Feb 13:38:27 EST 2020,9,Fri 21 Feb 13:38:29 EST 2020,8,Fri 21 Feb 13:38:29 EST 2020,2,Fri 21 Feb 2020 01:37:55 PM EST,1,Fri 21 Feb 13:37:42 EST 2020,9,Fri 21 Feb 13:38:16 EST 2020,7,Fri 21 Feb 13:38:03 EST 2020,1,Fri 21 Feb 13:38:14 EST 2020
3130,root,,1,Fri 21 Feb 13:44:17 EST 2020,1,Fri 21 Feb 13:44:35 EST 2020,7,Fri 21 Feb 13:44:06 EST 2020,10,Fri 21 Feb 13:44:39 EST 2020,1,Fri 21 Feb 13:44:03 EST 2020,1,Fri 21 Feb 13:43:21 EST 2020,7,Fri 21 Feb 13:43:53 EST 2020,7,Fri 21 Feb 13:44:31 EST 2020,8,Fri 21 Feb 13:44:29 EST 2020
3147,root,,1,Fri 21 Feb 14:34:49 EST 2020,7,Fri 21 Feb 14:34:36 EST 2020,6,Fri 21 Feb 14:35:06 EST 2020,7,Fri 21 Feb 14:34:49 EST 2020,1,Fri 21 Feb 14:34:24 EST 2020,9,Fri 21 Feb 14:34:10 EST 2020,7,Fri 21 Feb 14:35:02 EST 2020,1,Fri 21 Feb 14:33:55 EST 2020,7,Fri 21 Feb 14:34:24 EST 2020
3153,root,,9,Fri 21 Feb 14:52:30 EST 2020,7,Fri 21 Feb 14:52:49 EST 2020,1,Fri 21 Feb 14:52:47 EST 2020,7,Fri 21 Feb 14:53:02 EST 2020,1,Fri 21 Feb 14:52:04 EST 2020,1,Fri 21 Feb 14:51:46 EST 2020,1,Fri 21 Feb 14:52:35 EST 2020,7,Fri 21 Feb 14:52:16 EST 2020,7,Fri 21 Feb 14:52:36 EST 2020
3133,root,,1,Fri 21 Feb 13:52:52 EST 2020,1,Fri 21 Feb 13:53:31 EST 2020,2,Fri 21 Feb 2020 01:53:15 PM EST,7,Fri 21 Feb 13:53:38 EST 2020,2,Fri 21 Feb 2020 01:53:47 PM EST,1,Fri 21 Feb 13:52:36 EST 2020,2,Fri 21 Feb 2020 01:53:02 PM EST,4,Fri 21 Feb 13:53:41 EST 2020,1,Fri 21 Feb 13:53:18 EST 2020
3142,root,,8,Fri 21 Feb 14:20:20 EST 2020,1,Fri 21 Feb 14:19:47 EST 2020,9,Fri 21 Feb 14:19:54 EST 2020,10,Fri 21 Feb 14:19:49 EST 2020,4,Fri 21 Feb 14:20:06 EST 2020,1,Fri 21 Feb 14:20:04 EST 2020,9,Fri 21 Feb 14:19:41 EST 2020,1,Fri 21 Feb 14:19:20 EST 2020,1,Fri 21 Feb 14:19:35 EST 2020
3152,root,,4,Fri 21 Feb 14:49:46 EST 2020,6,Fri 21 Feb 14:49:33 EST 2020,7,Fri 21 Feb 14:49:35 EST 2020,1,Fri 21 Feb 14:49:46 EST 2020,1,Fri 21 Feb 14:49:01 EST 2020,1,Fri 21 Feb 14:49:25 EST 2020,10,Fri 21 Feb 14:49:33 EST 2020,7,Fri 21 Feb 14:49:57 EST 2020,6,Fri 21 Feb 14:49:21 EST 2020
3116,root,,7,Fri 21 Feb 13:03:23 EST 2020,7,Fri 21 Feb 13:02:46 EST 2020,1,Fri 21 Feb 13:03:19 EST 2020,7,Fri 21 Feb 13:02:59 EST 2020,3,Fri Feb 21 18:02:59 UTC 2020,1,Fri 21 Feb 13:02:12 EST 2020,3,Fri Feb 21 18:03:18 UTC 2020,10,Fri 21 Feb 13:03:14 EST 2020,7,Fri 21 Feb 13:02:34 EST 2020
3155,root,,8,Fri 21 Feb 14:59:09 EST 2020,8,Fri 21 Feb 14:58:49 EST 2020,1,Fri 21 Feb 14:58:37 EST 2020,10,Fri 21 Feb 14:59:00 EST 2020,9,Fri 21 Feb 14:59:03 EST 2020,3,Fri Feb 21 19:59:19 UTC 2020,1,Fri 21 Feb 14:58:24 EST 2020,1,Fri 21 Feb 14:58:52 EST 2020,8,Fri 21 Feb 14:58:37 EST 2020
3129,root,,7,Fri 21 Feb 13:41:13 EST 2020,6,Fri 21 Feb 13:40:53 EST 2020,1,Fri 21 Feb 13:41:05 EST 2020,10,Fri 21 Feb 13:40:54 EST 2020,1,Fri 21 Feb 13:40:14 EST 2020,6,Fri 21 Feb 13:40:27 EST 2020,1,Fri 21 Feb 13:40:52 EST 2020,5,Fri 21 Feb 12:35:12 EST 2020,6,Fri 21 Feb 13:40:41 EST 2020
