pi1_time,pi1_time,pi1_time,pi2_parent,pi2_time,pi3_parent,pi3_time,pi4_parent,pi4_time,pi5_parent,pi5_time,pi6_parent,pi6_time,pi7_parent,pi7_time,pi8_parent,pi8_time,pi9_parent,pi9_time,pi10_parent,pi10_time
3096,root,,7,Fri 21 Feb 12:04:08 EST 2020,6,Fri 21 Feb 12:04:46 EST 2020,9,Fri 21 Feb 12:04:39 EST 2020,1,Fri 21 Feb 12:04:57 EST 2020,1,Fri 21 Feb 12:04:22 EST 2020,1,Fri 21 Feb 12:03:52 EST 2020,7,Fri 21 Feb 12:04:38 EST 2020,1,Fri 21 Feb 12:04:06 EST 2020,6,Fri 21 Feb 12:04:34 EST 2020
3128,root,,1,Fri 21 Feb 13:37:20 EST 2020,1,Fri 21 Feb 13:38:27 EST 2020,9,Fri 21 Feb 13:38:29 EST 2020,8,Fri 21 Feb 13:38:29 EST 2020,2,Fri 21 Feb 2020 01:37:55 PM EST,1,Fri 21 Feb 13:37:42 EST 2020,9,Fri 21 Feb 13:38:16 EST 2020,7,Fri 21 Feb 13:38:03 EST 2020,1,Fri 21 Feb 13:38:14 EST 2020
3102,root,,1,Fri 21 Feb 12:21:26 EST 2020,8,Fri 21 Feb 12:22:01 EST 2020,1,Fri 21 Feb 12:21:09 EST 2020,9,Fri 21 Feb 12:22:03 EST 2020,2,Fri 21 Feb 2020 12:21:45 PM EST,8,Fri 21 Feb 12:21:35 EST 2020,1,Fri 21 Feb 12:20:56 EST 2020,4,Fri 21 Feb 12:21:28 EST 2020,2,Fri 21 Feb 2020 12:22:00 PM EST
3079,root,,1,Fri 21 Feb 11:14:31 EST 2020,6,Fri 21 Feb 11:15:09 EST 2020,6,Fri 21 Feb 11:14:54 EST 2020,8,Fri 21 Feb 11:15:10 EST 2020,1,Fri 21 Feb 11:14:16 EST 2020,1,Fri 21 Feb 11:15:04 EST 2020,2,Fri 21 Feb 2020 11:14:48 AM EST,1,Fri 21 Feb 11:13:57 EST 2020,9,Fri 21 Feb 11:14:58 EST 2020
3130,root,,1,Fri 21 Feb 13:44:17 EST 2020,1,Fri 21 Feb 13:44:35 EST 2020,7,Fri 21 Feb 13:44:06 EST 2020,10,Fri 21 Feb 13:44:39 EST 2020,1,Fri 21 Feb 13:44:03 EST 2020,1,Fri 21 Feb 13:43:21 EST 2020,7,Fri 21 Feb 13:43:53 EST 2020,7,Fri 21 Feb 13:44:31 EST 2020,8,Fri 21 Feb 13:44:29 EST 2020
3167,root,,4,Fri 21 Feb 15:34:31 EST 2020,9,Fri 21 Feb 15:34:45 EST 2020,1,Fri 21 Feb 15:34:09 EST 2020,2,Fri 21 Feb 2020 03:34:49 PM EST,8,Fri 21 Feb 15:34:32 EST 2020,1,Fri 21 Feb 15:35:00 EST 2020,1,Fri 21 Feb 15:33:56 EST 2020,8,Fri 21 Feb 15:34:17 EST 2020,6,Fri 21 Feb 15:34:43 EST 2020
3196,root,,1,Fri 21 Feb 16:59:38 EST 2020,2,Fri 21 Feb 2020 05:00:09 PM EST,8,Fri 21 Feb 17:00:45 EST 2020,10,Fri 21 Feb 17:00:18 EST 2020,2,Fri 21 Feb 2020 05:00:24 PM EST,1,Fri 21 Feb 17:00:18 EST 2020,1,Fri 21 Feb 17:00:32 EST 2020,3,Fri Feb 21 22:00:21 UTC 2020,2,Fri 21 Feb 2020 04:59:57 PM EST
3183,root,,10,Fri 21 Feb 16:21:47 EST 2020,10,Fri 21 Feb 16:21:21 EST 2020,7,Fri 21 Feb 16:21:35 EST 2020,1,Fri 21 Feb 16:21:23 EST 2020,1,Fri 21 Feb 16:20:52 EST 2020,6,Fri 21 Feb 16:21:06 EST 2020,7,Fri 21 Feb 16:21:22 EST 2020,6,Fri 21 Feb 16:21:32 EST 2020,1,Fri 21 Feb 16:21:10 EST 2020
3086,root,,3,Fri Feb 21 16:35:04 UTC 2020,6,Fri 21 Feb 11:34:30 EST 2020,3,Fri Feb 21 16:34:49 UTC 2020,1,Fri 21 Feb 11:34:34 EST 2020,1,Fri 21 Feb 11:34:03 EST 2020,5,Fri 21 Feb 10:28:57 EST 2020,6,Fri 21 Feb 11:34:46 EST 2020,10,Fri 21 Feb 11:34:59 EST 2020,1,Fri 21 Feb 11:34:21 EST 2020
3147,root,,1,Fri 21 Feb 14:34:49 EST 2020,7,Fri 21 Feb 14:34:36 EST 2020,6,Fri 21 Feb 14:35:06 EST 2020,7,Fri 21 Feb 14:34:49 EST 2020,1,Fri 21 Feb 14:34:24 EST 2020,9,Fri 21 Feb 14:34:10 EST 2020,7,Fri 21 Feb 14:35:02 EST 2020,1,Fri 21 Feb 14:33:55 EST 2020,7,Fri 21 Feb 14:34:24 EST 2020
3084,root,,1,Fri 21 Feb 11:28:49 EST 2020,2,Fri 21 Feb 2020 11:29:01 AM EST,1,Fri 21 Feb 11:29:21 EST 2020,9,Fri 21 Feb 11:29:08 EST 2020,1,Fri 21 Feb 11:28:30 EST 2020,6,Fri 21 Feb 11:29:02 EST 2020,2,Fri 21 Feb 2020 11:29:19 AM EST,6,Fri 21 Feb 11:28:39 EST 2020,9,Fri 21 Feb 11:28:55 EST 2020
3153,root,,9,Fri 21 Feb 14:52:30 EST 2020,7,Fri 21 Feb 14:52:49 EST 2020,1,Fri 21 Feb 14:52:47 EST 2020,7,Fri 21 Feb 14:53:02 EST 2020,1,Fri 21 Feb 14:52:04 EST 2020,1,Fri 21 Feb 14:51:46 EST 2020,1,Fri 21 Feb 14:52:35 EST 2020,7,Fri 21 Feb 14:52:16 EST 2020,7,Fri 21 Feb 14:52:36 EST 2020
3044,root,,7,Fri 21 Feb 09:32:07 EST 2020,4,Fri 21 Feb 09:31:57 EST 2020,1,Fri 21 Feb 09:31:22 EST 2020,1,Fri 21 Feb 09:32:01 EST 2020,7,Fri 21 Feb 09:31:50 EST 2020,8,Fri 21 Feb 09:31:19 EST 2020,1,Fri 21 Feb 09:31:10 EST 2020,10,Fri 21 Feb 09:32:02 EST 2020,8,Fri 21 Feb 09:31:48 EST 2020
3073,root,,7,Fri 21 Feb 10:56:13 EST 2020,2,Fri 21 Feb 2020 10:56:48 AM EST,9,Fri 21 Feb 10:56:48 EST 2020,6,Fri 21 Feb 10:56:49 EST 2020,1,Fri 21 Feb 10:56:22 EST 2020,1,Fri 21 Feb 10:55:46 EST 2020,7,Fri 21 Feb 10:56:45 EST 2020,1,Fri 21 Feb 10:56:04 EST 2020,6,Fri 21 Feb 10:56:36 EST 2020
