pi1_time,pi1_time,pi1_time,pi2_parent,pi2_time,pi3_parent,pi3_time,pi4_parent,pi4_time,pi5_parent,pi5_time,pi6_parent,pi6_time,pi7_parent,pi7_time,pi8_parent,pi8_time,pi9_parent,pi9_time,pi10_parent,pi10_time
2584,root,,1,Tue 18 Feb 11:14:17 EST 2020,2,Tue 18 Feb 2020 11:14:51 AM EST,2,Tue 18 Feb 2020 11:15:09 AM EST,7,Tue 18 Feb 11:15:01 EST 2020,3,Tue Feb 18 16:15:18 UTC 2020,2,Tue 18 Feb 2020 11:14:29 AM EST,9,Tue 18 Feb 11:15:00 EST 2020,1,Tue 18 Feb 11:14:38 EST 2020,7,Tue 18 Feb 11:14:47 EST 2020
2610,root,,1,Tue 18 Feb 12:30:44 EST 2020,2,Tue 18 Feb 2020 12:31:32 PM EST,7,Tue 18 Feb 12:31:13 EST 2020,4,Tue 18 Feb 12:31:34 EST 2020,2,Tue 18 Feb 2020 12:31:08 PM EST,9,Tue 18 Feb 12:30:54 EST 2020,1,Tue 18 Feb 12:31:07 EST 2020,1,Tue 18 Feb 12:30:31 EST 2020,9,Tue 18 Feb 12:31:26 EST 2020
2599,root,,7,Tue 18 Feb 11:58:01 EST 2020,2,Tue 18 Feb 2020 11:58:23 AM EST,1,Tue 18 Feb 11:58:48 EST 2020,10,Tue 18 Feb 11:58:25 EST 2020,2,Tue 18 Feb 2020 11:58:45 AM EST,1,Tue 18 Feb 11:57:40 EST 2020,1,Tue 18 Feb 11:58:35 EST 2020,1,Tue 18 Feb 11:58:09 EST 2020,2,Tue 18 Feb 2020 11:58:11 AM EST
2586,root,,1,Tue 18 Feb 11:20:02 EST 2020,1,Tue 18 Feb 11:20:54 EST 2020,10,Tue 18 Feb 11:21:06 EST 2020,2,Tue 18 Feb 2020 11:20:55 AM EST,5,Tue 18 Feb 10:15:05 EST 2020,3,Tue Feb 18 16:21:11 UTC 2020,10,Tue 18 Feb 11:20:54 EST 2020,1,Tue 18 Feb 11:20:38 EST 2020,2,Tue 18 Feb 2020 11:20:42 AM EST
2602,root,,1,Tue 18 Feb 12:06:50 EST 2020,10,Tue 18 Feb 12:07:18 EST 2020,3,Tue Feb 18 17:07:49 UTC 2020,2,Tue 18 Feb 2020 12:07:22 PM EST,7,Tue 18 Feb 12:07:27 EST 2020,1,Tue 18 Feb 12:07:18 EST 2020,3,Tue Feb 18 17:07:36 UTC 2020,10,Tue 18 Feb 12:07:34 EST 2020,2,Tue 18 Feb 2020 12:07:09 PM EST
2617,root,,4,Tue 18 Feb 12:51:57 EST 2020,6,Tue 18 Feb 12:51:47 EST 2020,1,Tue 18 Feb 12:51:46 EST 2020,6,Tue 18 Feb 12:52:00 EST 2020,1,Tue 18 Feb 12:51:13 EST 2020,8,Tue 18 Feb 12:52:14 EST 2020,1,Tue 18 Feb 12:51:34 EST 2020,2,Tue 18 Feb 2020 12:52:07 PM EST,6,Tue 18 Feb 12:51:35 EST 2020
2612,root,,1,Tue 18 Feb 12:36:18 EST 2020,2,Tue 18 Feb 2020 12:36:54 PM EST,10,Tue 18 Feb 12:37:14 EST 2020,1,Tue 18 Feb 12:36:55 EST 2020,1,Tue 18 Feb 12:37:11 EST 2020,6,Tue 18 Feb 12:37:28 EST 2020,10,Tue 18 Feb 12:37:02 EST 2020,8,Tue 18 Feb 12:37:25 EST 2020,1,Tue 18 Feb 12:36:41 EST 2020
2592,root,,1,Tue 18 Feb 11:38:03 EST 2020,1,Tue 18 Feb 11:37:35 EST 2020,5,Tue 18 Feb 10:31:51 EST 2020,1,Tue 18 Feb 11:37:48 EST 2020,10,Tue 18 Feb 11:37:43 EST 2020,10,Tue 18 Feb 11:38:14 EST 2020,6,Tue 18 Feb 11:37:51 EST 2020,8,Tue 18 Feb 11:38:23 EST 2020,1,Tue 18 Feb 11:37:23 EST 2020
2595,root,,1,Tue 18 Feb 11:47:01 EST 2020,1,Tue 18 Feb 11:46:41 EST 2020,3,Tue Feb 18 16:47:24 UTC 2020,7,Tue 18 Feb 11:46:53 EST 2020,7,Tue 18 Feb 11:46:28 EST 2020,1,Tue 18 Feb 11:46:07 EST 2020,1,Tue 18 Feb 11:47:17 EST 2020,7,Tue 18 Feb 11:47:17 EST 2020,1,Tue 18 Feb 11:46:28 EST 2020
2585,root,,4,Tue 18 Feb 11:18:04 EST 2020,4,Tue 18 Feb 11:17:46 EST 2020,1,Tue 18 Feb 11:17:18 EST 2020,1,Tue 18 Feb 11:17:52 EST 2020,1,Tue 18 Feb 11:17:00 EST 2020,6,Tue 18 Feb 11:17:47 EST 2020,6,Tue 18 Feb 11:17:13 EST 2020,4,Tue 18 Feb 11:17:29 EST 2020,1,Tue 18 Feb 11:17:39 EST 2020
