pi1_time,pi1_time,pi1_time,pi2_parent,pi2_time,pi3_parent,pi3_time,pi4_parent,pi4_time,pi5_parent,pi5_time,pi6_parent,pi6_time,pi7_parent,pi7_time,pi8_parent,pi8_time,pi9_parent,pi9_time,pi10_parent,pi10_time
3044,root,,7,Fri 21 Feb 09:32:07 EST 2020,4,Fri 21 Feb 09:31:57 EST 2020,1,Fri 21 Feb 09:31:22 EST 2020,1,Fri 21 Feb 09:32:01 EST 2020,7,Fri 21 Feb 09:31:50 EST 2020,8,Fri 21 Feb 09:31:19 EST 2020,1,Fri 21 Feb 09:31:10 EST 2020,10,Fri 21 Feb 09:32:02 EST 2020,8,Fri 21 Feb 09:31:48 EST 2020
3073,root,,7,Fri 21 Feb 10:56:13 EST 2020,2,Fri 21 Feb 2020 10:56:48 AM EST,9,Fri 21 Feb 10:56:48 EST 2020,6,Fri 21 Feb 10:56:49 EST 2020,1,Fri 21 Feb 10:56:22 EST 2020,1,Fri 21 Feb 10:55:46 EST 2020,7,Fri 21 Feb 10:56:45 EST 2020,1,Fri 21 Feb 10:56:04 EST 2020,6,Fri 21 Feb 10:56:36 EST 2020
3042,root,,1,Fri 21 Feb 09:26:05 EST 2020,4,Fri 21 Feb 09:25:45 EST 2020,1,Fri 21 Feb 09:25:20 EST 2020,4,Fri 21 Feb 09:25:57 EST 2020,10,Fri 21 Feb 09:25:52 EST 2020,8,Fri 21 Feb 09:25:28 EST 2020,1,Fri 21 Feb 09:25:08 EST 2020,1,Fri 21 Feb 09:25:41 EST 2020,4,Fri 21 Feb 09:25:32 EST 2020
3064,root,,8,Fri 21 Feb 10:30:18 EST 2020,7,Fri 21 Feb 10:31:01 EST 2020,1,Fri 21 Feb 10:30:21 EST 2020,4,Fri 21 Feb 10:31:09 EST 2020,8,Fri 21 Feb 10:31:05 EST 2020,8,Fri 21 Feb 10:30:45 EST 2020,1,Fri 21 Feb 10:30:08 EST 2020,2,Fri 21 Feb 2020 10:30:36 AM EST,2,Fri 21 Feb 2020 10:30:56 AM EST
3045,root,,1,Fri 21 Feb 09:33:57 EST 2020,10,Fri 21 Feb 09:34:18 EST 2020,5,Fri 21 Feb 08:28:44 EST 2020,2,Fri 21 Feb 2020 09:34:20 AM EST,1,Fri 21 Feb 09:34:54 EST 2020,1,Fri 21 Feb 09:34:16 EST 2020,7,Fri 21 Feb 09:34:45 EST 2020,1,Fri 21 Feb 09:34:33 EST 2020,2,Fri 21 Feb 2020 09:34:07 AM EST
3051,root,,10,Fri 21 Feb 09:52:48 EST 2020,1,Fri 21 Feb 09:52:08 EST 2020,6,Fri 21 Feb 09:52:54 EST 2020,1,Fri 21 Feb 09:52:21 EST 2020,10,Fri 21 Feb 09:52:27 EST 2020,10,Fri 21 Feb 09:52:06 EST 2020,6,Fri 21 Feb 09:52:41 EST 2020,7,Fri 21 Feb 09:52:45 EST 2020,1,Fri 21 Feb 09:51:55 EST 2020
3070,root,,8,Fri 21 Feb 10:47:56 EST 2020,8,Fri 21 Feb 10:48:32 EST 2020,1,Fri 21 Feb 10:47:47 EST 2020,1,Fri 21 Feb 10:48:38 EST 2020,1,Fri 21 Feb 10:48:09 EST 2020,4,Fri 21 Feb 10:48:12 EST 2020,1,Fri 21 Feb 10:47:34 EST 2020,7,Fri 21 Feb 10:48:24 EST 2020,8,Fri 21 Feb 10:48:19 EST 2020
3039,root,,10,Fri 21 Feb 09:16:17 EST 2020,1,Fri 21 Feb 09:16:07 EST 2020,2,Fri 21 Feb 2020 09:16:57 AM EST,1,Fri 21 Feb 09:16:19 EST 2020,10,Fri 21 Feb 09:16:32 EST 2020,3,Fri Feb 21 14:16:49 UTC 2020,2,Fri 21 Feb 2020 09:16:44 AM EST,1,Fri 21 Feb 09:16:37 EST 2020,1,Fri 21 Feb 09:15:54 EST 2020
3056,root,,1,Fri 21 Feb 10:06:35 EST 2020,1,Fri 21 Feb 10:07:39 EST 2020,1,Fri 21 Feb 10:07:13 EST 2020,1,Fri 21 Feb 10:07:52 EST 2020,8,Fri 21 Feb 10:07:44 EST 2020,2,Fri 21 Feb 2020 10:07:32 AM EST,1,Fri 21 Feb 10:07:00 EST 2020,2,Fri 21 Feb 2020 10:07:04 AM EST,1,Fri 21 Feb 10:07:27 EST 2020
3054,root,,3,Fri Feb 21 15:00:42 UTC 2020,1,Fri 21 Feb 10:00:19 EST 2020,10,Fri 21 Feb 10:01:23 EST 2020,1,Fri 21 Feb 10:00:32 EST 2020,1,Fri 21 Feb 10:00:52 EST 2020,10,Fri 21 Feb 10:00:42 EST 2020,6,Fri 21 Feb 10:01:18 EST 2020,5,Fri 21 Feb 08:54:40 EST 2020,1,Fri 21 Feb 10:00:06 EST 2020
3034,root,,1,Fri 21 Feb 09:01:17 EST 2020,9,Fri 21 Feb 09:01:52 EST 2020,10,Fri 21 Feb 09:01:51 EST 2020,9,Fri 21 Feb 09:02:05 EST 2020,9,Fri 21 Feb 09:01:12 EST 2020,6,Fri 21 Feb 09:01:24 EST 2020,1,Fri 21 Feb 09:01:45 EST 2020,1,Fri 21 Feb 09:00:49 EST 2020,9,Fri 21 Feb 09:01:40 EST 2020
3065,root,,1,Fri 21 Feb 10:33:53 EST 2020,8,Fri 21 Feb 10:33:43 EST 2020,8,Fri 21 Feb 10:33:19 EST 2020,4,Fri 21 Feb 10:33:44 EST 2020,1,Fri 21 Feb 10:33:35 EST 2020,1,Fri 21 Feb 10:32:52 EST 2020,7,Fri 21 Feb 10:33:06 EST 2020,7,Fri 21 Feb 10:33:22 EST 2020,9,Fri 21 Feb 10:33:40 EST 2020
3063,root,,10,Fri 21 Feb 10:27:24 EST 2020,1,Fri 21 Feb 10:27:25 EST 2020,3,Fri Feb 21 15:27:56 UTC 2020,1,Fri 21 Feb 10:27:38 EST 2020,10,Fri 21 Feb 10:28:01 EST 2020,2,Fri 21 Feb 2020 10:28:19 AM EST,1,Fri 21 Feb 10:27:53 EST 2020,2,Fri 21 Feb 2020 10:27:54 AM EST,1,Fri 21 Feb 10:27:12 EST 2020
