pi1_time,pi1_time,pi1_time,pi2_parent,pi2_time,pi3_parent,pi3_time,pi4_parent,pi4_time,pi5_parent,pi5_time,pi6_parent,pi6_time,pi7_parent,pi7_time,pi8_parent,pi8_time,pi9_parent,pi9_time,pi10_parent,pi10_time
2921,root,,4,Thu 20 Feb 11:27:33 EST 2020,1,Thu 20 Feb 11:27:55 EST 2020,9,Thu 20 Feb 11:27:16 EST 2020,9,Thu 20 Feb 11:27:59 EST 2020,7,Thu 20 Feb 11:27:40 EST 2020,1,Thu 20 Feb 11:27:06 EST 2020,9,Thu 20 Feb 11:27:04 EST 2020,1,Thu 20 Feb 11:26:28 EST 2020,1,Thu 20 Feb 11:27:43 EST 2020
3031,root,,9,Thu 20 Feb 16:55:20 EST 2020,2,Thu 20 Feb 2020 04:55:50 PM EST,1,Thu 20 Feb 16:55:06 EST 2020,9,Thu 20 Feb 16:55:59 EST 2020,4,Thu 20 Feb 16:55:20 EST 2020,8,Thu 20 Feb 16:55:15 EST 2020,1,Thu 20 Feb 16:54:53 EST 2020,1,Thu 20 Feb 16:54:37 EST 2020,2,Thu 20 Feb 2020 04:55:37 PM EST
2978,root,,10,Thu 20 Feb 14:17:20 EST 2020,1,Thu 20 Feb 14:17:07 EST 2020,6,Thu 20 Feb 14:16:40 EST 2020,8,Thu 20 Feb 14:17:10 EST 2020,1,Thu 20 Feb 14:16:18 EST 2020,6,Thu 20 Feb 14:17:16 EST 2020,6,Thu 20 Feb 14:16:27 EST 2020,4,Thu 20 Feb 14:17:01 EST 2020,1,Thu 20 Feb 14:16:54 EST 2020
2947,root,,4,Thu 20 Feb 12:45:45 EST 2020,4,Thu 20 Feb 12:46:36 EST 2020,1,Thu 20 Feb 12:45:32 EST 2020,8,Thu 20 Feb 12:46:38 EST 2020,2,Thu 20 Feb 2020 12:45:58 PM EST,1,Thu 20 Feb 12:46:06 EST 2020,1,Thu 20 Feb 12:45:20 EST 2020,8,Thu 20 Feb 12:46:13 EST 2020,1,Thu 20 Feb 12:46:26 EST 2020
2873,root,,3,Thu Feb 20 14:05:15 UTC 2020,1,Thu 20 Feb 09:05:02 EST 2020,1,Thu 20 Feb 09:05:30 EST 2020,1,Thu 20 Feb 09:05:15 EST 2020,5,Thu 20 Feb 07:59:17 EST 2020,9,Thu 20 Feb 09:05:30 EST 2020,10,Thu 20 Feb 09:05:19 EST 2020,10,Thu 20 Feb 09:05:05 EST 2020,1,Thu 20 Feb 09:04:50 EST 2020
2942,root,,1,Thu 20 Feb 12:30:55 EST 2020,8,Thu 20 Feb 12:31:01 EST 2020,1,Thu 20 Feb 12:30:42 EST 2020,1,Thu 20 Feb 12:31:14 EST 2020,3,Thu Feb 20 17:31:12 UTC 2020,5,Thu 20 Feb 11:25:18 EST 2020,1,Thu 20 Feb 12:30:29 EST 2020,8,Thu 20 Feb 12:31:25 EST 2020,8,Thu 20 Feb 12:30:49 EST 2020
2881,root,,1,Thu 20 Feb 09:27:57 EST 2020,1,Thu 20 Feb 09:28:51 EST 2020,2,Thu 20 Feb 2020 09:28:35 AM EST,1,Thu 20 Feb 09:29:04 EST 2020,4,Thu 20 Feb 09:28:51 EST 2020,10,Thu 20 Feb 09:29:11 EST 2020,2,Thu 20 Feb 2020 09:28:22 AM EST,8,Thu 20 Feb 09:28:53 EST 2020,1,Thu 20 Feb 09:28:39 EST 2020
2902,root,,5,Thu 20 Feb 09:23:55 EST 2020,1,Thu 20 Feb 10:29:40 EST 2020,1,Thu 20 Feb 10:30:13 EST 2020,1,Thu 20 Feb 10:29:53 EST 2020,5,Thu 20 Feb 09:24:13 EST 2020,10,Thu 20 Feb 10:29:41 EST 2020,10,Thu 20 Feb 10:30:07 EST 2020,3,Thu Feb 20 15:30:24 UTC 2020,1,Thu 20 Feb 10:29:28 EST 2020
2889,root,,7,Thu 20 Feb 09:51:17 EST 2020,6,Thu 20 Feb 09:51:40 EST 2020,9,Thu 20 Feb 09:51:43 EST 2020,1,Thu 20 Feb 09:51:46 EST 2020,9,Thu 20 Feb 09:51:15 EST 2020,1,Thu 20 Feb 09:51:06 EST 2020,7,Thu 20 Feb 09:51:43 EST 2020,1,Thu 20 Feb 09:50:41 EST 2020,6,Thu 20 Feb 09:51:27 EST 2020
2984,root,,1,Thu 20 Feb 14:34:04 EST 2020,1,Thu 20 Feb 14:34:46 EST 2020,2,Thu 20 Feb 2020 02:34:47 PM EST,8,Thu 20 Feb 14:34:56 EST 2020,2,Thu 20 Feb 2020 02:34:13 PM EST,6,Thu 20 Feb 14:35:01 EST 2020,2,Thu 20 Feb 2020 02:34:34 PM EST,4,Thu 20 Feb 14:34:56 EST 2020,8,Thu 20 Feb 14:34:43 EST 2020
2977,root,,1,Thu 20 Feb 14:13:26 EST 2020,2,Thu 20 Feb 2020 02:14:15 PM EST,2,Thu 20 Feb 2020 02:13:58 PM EST,1,Thu 20 Feb 14:14:19 EST 2020,1,Thu 20 Feb 14:13:56 EST 2020,8,Thu 20 Feb 14:14:05 EST 2020,2,Thu 20 Feb 2020 02:13:45 PM EST,10,Thu 20 Feb 14:14:30 EST 2020,6,Thu 20 Feb 14:14:11 EST 2020
3028,root,,8,Thu 20 Feb 16:45:39 EST 2020,6,Thu 20 Feb 16:46:29 EST 2020,1,Thu 20 Feb 16:45:32 EST 2020,2,Thu 20 Feb 2020 04:46:34 PM EST,4,Thu 20 Feb 16:45:55 EST 2020,4,Thu 20 Feb 16:45:42 EST 2020,1,Thu 20 Feb 16:45:19 EST 2020,1,Thu 20 Feb 16:46:04 EST 2020,1,Thu 20 Feb 16:46:24 EST 2020
2940,root,,8,Thu 20 Feb 12:24:53 EST 2020,9,Thu 20 Feb 12:25:23 EST 2020,1,Thu 20 Feb 12:24:52 EST 2020,4,Thu 20 Feb 12:25:24 EST 2020,9,Thu 20 Feb 12:24:57 EST 2020,6,Thu 20 Feb 12:25:11 EST 2020,1,Thu 20 Feb 12:24:39 EST 2020,1,Thu 20 Feb 12:24:23 EST 2020,4,Thu 20 Feb 12:25:11 EST 2020
2876,root,,6,Thu 20 Feb 09:13:33 EST 2020,8,Thu 20 Feb 09:13:41 EST 2020,1,Thu 20 Feb 09:13:09 EST 2020,2,Thu 20 Feb 2020 09:13:46 AM EST,8,Thu 20 Feb 09:13:15 EST 2020,10,Thu 20 Feb 09:13:50 EST 2020,1,Thu 20 Feb 09:12:57 EST 2020,4,Thu 20 Feb 09:13:20 EST 2020,8,Thu 20 Feb 09:13:29 EST 2020
2937,root,,7,Thu 20 Feb 12:15:19 EST 2020,6,Thu 20 Feb 12:15:45 EST 2020,2,Thu 20 Feb 2020 12:15:46 PM EST,1,Thu 20 Feb 12:15:55 EST 2020,1,Thu 20 Feb 12:15:26 EST 2020,1,Thu 20 Feb 12:14:51 EST 2020,2,Thu 20 Feb 2020 12:15:34 PM EST,7,Thu 20 Feb 12:15:38 EST 2020,1,Thu 20 Feb 12:15:41 EST 2020
