pi1_time,pi1_time,pi1_time,pi2_parent,pi2_time,pi3_parent,pi3_time,pi4_parent,pi4_time,pi5_parent,pi5_time,pi6_parent,pi6_time,pi7_parent,pi7_time,pi8_parent,pi8_time,pi9_parent,pi9_time,pi10_parent,pi10_time
2623,root,,7,Tue 18 Feb 13:09:03 EST 2020,1,Tue 18 Feb 13:08:46 EST 2020,10,Tue 18 Feb 13:09:17 EST 2020,3,Tue Feb 18 18:08:56 UTC 2020,3,Tue Feb 18 18:09:09 UTC 2020,10,Tue 18 Feb 13:08:46 EST 2020,1,Tue 18 Feb 13:09:07 EST 2020,1,Tue 18 Feb 13:08:19 EST 2020,1,Tue 18 Feb 13:08:33 EST 2020
2621,root,,10,Tue 18 Feb 13:03:52 EST 2020,6,Tue 18 Feb 13:03:39 EST 2020,1,Tue 18 Feb 13:02:54 EST 2020,4,Tue 18 Feb 13:03:48 EST 2020,1,Tue 18 Feb 13:03:20 EST 2020,8,Tue 18 Feb 13:03:42 EST 2020,1,Tue 18 Feb 13:02:41 EST 2020,1,Tue 18 Feb 13:03:33 EST 2020,4,Tue 18 Feb 13:03:34 EST 2020
2645,root,,6,Tue 18 Feb 14:14:05 EST 2020,1,Tue 18 Feb 14:13:39 EST 2020,10,Tue 18 Feb 14:13:54 EST 2020,3,Tue Feb 18 19:13:49 UTC 2020,1,Tue 18 Feb 14:13:53 EST 2020,5,Tue 18 Feb 13:07:54 EST 2020,10,Tue 18 Feb 14:13:41 EST 2020,8,Tue 18 Feb 14:13:51 EST 2020,1,Tue 18 Feb 14:13:27 EST 2020
2655,root,,1,Tue 18 Feb 14:43:15 EST 2020,1,Tue 18 Feb 14:44:00 EST 2020,8,Tue 18 Feb 14:44:12 EST 2020,2,Tue 18 Feb 2020 02:44:01 PM EST,9,Tue 18 Feb 14:44:22 EST 2020,1,Tue 18 Feb 14:43:45 EST 2020,7,Tue 18 Feb 14:44:02 EST 2020,10,Tue 18 Feb 14:44:09 EST 2020,2,Tue 18 Feb 2020 02:43:48 PM EST
2626,root,,7,Tue 18 Feb 13:17:58 EST 2020,9,Tue 18 Feb 13:18:05 EST 2020,6,Tue 18 Feb 13:18:34 EST 2020,9,Tue 18 Feb 13:18:17 EST 2020,1,Tue 18 Feb 13:17:29 EST 2020,6,Tue 18 Feb 13:17:40 EST 2020,6,Tue 18 Feb 13:18:21 EST 2020,1,Tue 18 Feb 13:17:42 EST 2020,9,Tue 18 Feb 13:17:52 EST 2020
2633,root,,5,Tue 18 Feb 12:32:48 EST 2020,1,Tue 18 Feb 13:38:29 EST 2020,3,Tue Feb 18 18:39:32 UTC 2020,1,Tue 18 Feb 13:38:41 EST 2020,10,Tue 18 Feb 13:38:43 EST 2020,5,Tue 18 Feb 12:33:02 EST 2020,3,Tue Feb 18 18:39:19 UTC 2020,1,Tue 18 Feb 13:38:56 EST 2020,1,Tue 18 Feb 13:38:16 EST 2020
2641,root,,1,Tue 18 Feb 14:01:57 EST 2020,2,Tue 18 Feb 2020 02:02:33 PM EST,1,Tue 18 Feb 14:02:53 EST 2020,1,Tue 18 Feb 14:02:39 EST 2020,10,Tue 18 Feb 14:02:29 EST 2020,9,Tue 18 Feb 14:02:39 EST 2020,6,Tue 18 Feb 14:02:44 EST 2020,1,Tue 18 Feb 14:02:21 EST 2020,2,Tue 18 Feb 2020 02:02:20 PM EST
2643,root,,10,Tue 18 Feb 14:07:43 EST 2020,1,Tue 18 Feb 14:07:41 EST 2020,6,Tue 18 Feb 14:08:24 EST 2020,1,Tue 18 Feb 14:07:54 EST 2020,10,Tue 18 Feb 14:07:56 EST 2020,10,Tue 18 Feb 14:08:19 EST 2020,6,Tue 18 Feb 14:08:11 EST 2020,3,Tue Feb 18 19:08:28 UTC 2020,1,Tue 18 Feb 14:07:28 EST 2020
2653,root,,9,Tue 18 Feb 14:38:31 EST 2020,10,Tue 18 Feb 14:37:53 EST 2020,2,Tue 18 Feb 2020 02:38:45 PM EST,1,Tue 18 Feb 14:37:54 EST 2020,1,Tue 18 Feb 14:38:10 EST 2020,1,Tue 18 Feb 14:38:24 EST 2020,6,Tue 18 Feb 14:38:33 EST 2020,5,Tue 18 Feb 13:32:07 EST 2020,1,Tue 18 Feb 14:37:41 EST 2020
2624,root,,1,Tue 18 Feb 13:12:06 EST 2020,9,Tue 18 Feb 13:11:58 EST 2020,6,Tue 18 Feb 13:12:12 EST 2020,9,Tue 18 Feb 13:12:11 EST 2020,1,Tue 18 Feb 13:11:49 EST 2020,10,Tue 18 Feb 13:12:18 EST 2020,6,Tue 18 Feb 13:12:00 EST 2020,1,Tue 18 Feb 13:11:26 EST 2020,9,Tue 18 Feb 13:11:46 EST 2020
2627,root,,1,Tue 18 Feb 13:21:30 EST 2020,7,Tue 18 Feb 13:21:14 EST 2020,1,Tue 18 Feb 13:20:46 EST 2020,4,Tue 18 Feb 13:21:18 EST 2020,1,Tue 18 Feb 13:21:44 EST 2020,8,Tue 18 Feb 13:20:52 EST 2020,1,Tue 18 Feb 13:20:33 EST 2020,7,Tue 18 Feb 13:21:33 EST 2020,4,Tue 18 Feb 13:21:04 EST 2020
2625,root,,3,Tue Feb 18 18:15:02 UTC 2020,1,Tue 18 Feb 13:14:53 EST 2020,10,Tue 18 Feb 13:15:33 EST 2020,1,Tue 18 Feb 13:15:05 EST 2020,9,Tue 18 Feb 13:15:19 EST 2020,9,Tue 18 Feb 13:14:51 EST 2020,7,Tue 18 Feb 13:15:23 EST 2020,1,Tue 18 Feb 13:14:22 EST 2020,1,Tue 18 Feb 13:14:40 EST 2020
2636,root,,1,Tue 18 Feb 13:47:35 EST 2020,9,Tue 18 Feb 13:48:28 EST 2020,7,Tue 18 Feb 13:48:39 EST 2020,6,Tue 18 Feb 13:48:28 EST 2020,7,Tue 18 Feb 13:48:14 EST 2020,1,Tue 18 Feb 13:47:53 EST 2020,1,Tue 18 Feb 13:48:31 EST 2020,1,Tue 18 Feb 13:48:08 EST 2020,2,Tue 18 Feb 2020 01:48:27 PM EST
2628,root,,4,Tue 18 Feb 13:24:32 EST 2020,1,Tue 18 Feb 13:23:52 EST 2020,10,Tue 18 Feb 13:24:04 EST 2020,1,Tue 18 Feb 13:24:05 EST 2020,1,Tue 18 Feb 13:24:26 EST 2020,3,Tue Feb 18 18:24:07 UTC 2020,10,Tue 18 Feb 13:23:52 EST 2020,8,Tue 18 Feb 13:24:04 EST 2020,1,Tue 18 Feb 13:23:40 EST 2020
2652,root,,3,Tue Feb 18 19:35:02 UTC 2020,1,Tue 18 Feb 14:34:29 EST 2020,10,Tue 18 Feb 14:35:29 EST 2020,1,Tue 18 Feb 14:34:42 EST 2020,2,Tue 18 Feb 2020 02:35:14 PM EST,5,Tue 18 Feb 13:29:31 EST 2020,10,Tue 18 Feb 14:35:16 EST 2020,1,Tue 18 Feb 14:34:56 EST 2020,1,Tue 18 Feb 14:34:17 EST 2020
2640,root,,5,Tue 18 Feb 12:53:34 EST 2020,1,Tue 18 Feb 13:59:04 EST 2020,3,Tue Feb 18 18:59:56 UTC 2020,1,Tue 18 Feb 13:59:16 EST 2020,10,Tue 18 Feb 13:59:01 EST 2020,9,Tue 18 Feb 13:59:44 EST 2020,6,Tue 18 Feb 13:59:54 EST 2020,3,Tue Feb 18 18:59:17 UTC 2020,1,Tue 18 Feb 13:58:51 EST 2020
