pi1_time,pi1_time,pi1_time,pi2_parent,pi2_time,pi3_parent,pi3_time,pi4_parent,pi4_time,pi5_parent,pi5_time,pi6_parent,pi6_time,pi7_parent,pi7_time,pi8_parent,pi8_time,pi9_parent,pi9_time,pi10_parent,pi10_time
3352,root,,1,Sat 22 Feb 16:42:36 EST 2020,4,Sat 22 Feb 16:42:48 EST 2020,7,Sat 22 Feb 16:42:24 EST 2020,4,Sat 22 Feb 16:43:01 EST 2020,8,Sat 22 Feb 16:42:34 EST 2020,1,Sat 22 Feb 16:41:50 EST 2020,7,Sat 22 Feb 16:42:12 EST 2020,1,Sat 22 Feb 16:42:56 EST 2020,4,Sat 22 Feb 16:42:36 EST 2020
3323,root,,3,Sat Feb 22 20:15:04 UTC 2020,1,Sat 22 Feb 15:14:44 EST 2020,6,Sat 22 Feb 15:15:49 EST 2020,1,Sat 22 Feb 15:14:57 EST 2020,10,Sat 22 Feb 15:15:13 EST 2020,2,Sat 22 Feb 2020 03:15:27 PM EST,6,Sat 22 Feb 15:15:36 EST 2020,3,Sat Feb 22 20:15:25 UTC 2020,1,Sat 22 Feb 15:14:32 EST 2020
3335,root,,1,Sat 22 Feb 15:50:42 EST 2020,4,Sat 22 Feb 15:52:00 EST 2020,1,Sat 22 Feb 15:51:22 EST 2020,2,Sat 22 Feb 2020 03:52:10 PM EST,2,Sat 22 Feb 2020 03:51:07 PM EST,8,Sat 22 Feb 15:51:36 EST 2020,1,Sat 22 Feb 15:51:09 EST 2020,1,Sat 22 Feb 15:51:44 EST 2020,4,Sat 22 Feb 15:51:47 EST 2020
3355,root,,6,Sat 22 Feb 16:51:36 EST 2020,1,Sat 22 Feb 16:51:50 EST 2020,9,Sat 22 Feb 16:52:05 EST 2020,7,Sat 22 Feb 16:52:00 EST 2020,1,Sat 22 Feb 16:50:50 EST 2020,1,Sat 22 Feb 16:50:36 EST 2020,9,Sat 22 Feb 16:51:52 EST 2020,7,Sat 22 Feb 16:51:29 EST 2020,1,Sat 22 Feb 16:51:37 EST 2020
3320,root,,10,Sat 22 Feb 15:07:00 EST 2020,9,Sat 22 Feb 15:07:03 EST 2020,1,Sat 22 Feb 15:07:08 EST 2020,9,Sat 22 Feb 15:07:15 EST 2020,2,Sat 22 Feb 2020 03:07:11 PM EST,8,Sat 22 Feb 15:07:10 EST 2020,1,Sat 22 Feb 15:06:55 EST 2020,1,Sat 22 Feb 15:06:37 EST 2020,9,Sat 22 Feb 15:06:50 EST 2020
3354,root,,7,Sat 22 Feb 16:48:18 EST 2020,10,Sat 22 Feb 16:48:27 EST 2020,1,Sat 22 Feb 16:48:49 EST 2020,2,Sat 22 Feb 2020 04:48:28 PM EST,7,Sat 22 Feb 16:48:46 EST 2020,1,Sat 22 Feb 16:47:43 EST 2020,1,Sat 22 Feb 16:48:37 EST 2020,8,Sat 22 Feb 16:48:53 EST 2020,1,Sat 22 Feb 16:48:17 EST 2020
3334,root,,1,Sat 22 Feb 15:48:33 EST 2020,9,Sat 22 Feb 15:48:25 EST 2020,6,Sat 22 Feb 15:48:46 EST 2020,9,Sat 22 Feb 15:48:37 EST 2020,9,Sat 22 Feb 15:47:57 EST 2020,1,Sat 22 Feb 15:48:12 EST 2020,6,Sat 22 Feb 15:48:34 EST 2020,1,Sat 22 Feb 15:47:44 EST 2020,9,Sat 22 Feb 15:48:12 EST 2020
3319,root,,10,Sat 22 Feb 15:04:32 EST 2020,9,Sat 22 Feb 15:04:35 EST 2020,7,Sat 22 Feb 15:04:14 EST 2020,1,Sat 22 Feb 15:04:40 EST 2020,10,Sat 22 Feb 15:04:54 EST 2020,1,Sat 22 Feb 15:03:51 EST 2020,7,Sat 22 Feb 15:04:01 EST 2020,1,Sat 22 Feb 15:04:13 EST 2020,9,Sat 22 Feb 15:04:22 EST 2020
3325,root,,10,Sat 22 Feb 15:21:19 EST 2020,1,Sat 22 Feb 15:21:11 EST 2020,3,Sat Feb 22 20:21:49 UTC 2020,1,Sat 22 Feb 15:21:24 EST 2020,2,Sat 22 Feb 2020 03:22:07 PM EST,10,Sat 22 Feb 15:21:36 EST 2020,3,Sat Feb 22 20:21:36 UTC 2020,2,Sat 22 Feb 2020 03:21:47 PM EST,1,Sat 22 Feb 15:20:58 EST 2020
3331,root,,1,Sat 22 Feb 15:39:18 EST 2020,2,Sat 22 Feb 2020 03:39:54 PM EST,1,Sat 22 Feb 15:39:45 EST 2020,4,Sat 22 Feb 15:40:02 EST 2020,8,Sat 22 Feb 15:40:00 EST 2020,1,Sat 22 Feb 15:40:13 EST 2020,1,Sat 22 Feb 15:39:32 EST 2020,10,Sat 22 Feb 15:40:05 EST 2020,2,Sat 22 Feb 2020 03:39:41 PM EST
3351,root,,6,Sat 22 Feb 16:39:48 EST 2020,1,Sat 22 Feb 16:39:45 EST 2020,1,Sat 22 Feb 16:39:06 EST 2020,9,Sat 22 Feb 16:39:53 EST 2020,8,Sat 22 Feb 16:39:30 EST 2020,2,Sat 22 Feb 2020 04:40:02 PM EST,1,Sat 22 Feb 16:38:54 EST 2020,4,Sat 22 Feb 16:39:28 EST 2020,9,Sat 22 Feb 16:39:40 EST 2020
3346,root,,5,Sat 22 Feb 15:18:30 EST 2020,1,Sat 22 Feb 16:24:06 EST 2020,3,Sat Feb 22 21:24:23 UTC 2020,1,Sat 22 Feb 16:24:19 EST 2020,8,Sat 22 Feb 16:24:35 EST 2020,10,Sat 22 Feb 16:24:41 EST 2020,10,Sat 22 Feb 16:24:11 EST 2020,5,Sat 22 Feb 15:18:47 EST 2020,1,Sat 22 Feb 16:23:53 EST 2020
3345,root,,1,Sat 22 Feb 16:20:59 EST 2020,2,Sat 22 Feb 2020 04:21:51 PM EST,6,Sat 22 Feb 16:22:09 EST 2020,2,Sat 22 Feb 2020 04:22:04 PM EST,2,Sat 22 Feb 2020 04:21:23 PM EST,6,Sat 22 Feb 16:21:32 EST 2020,3,Sat Feb 22 21:22:08 UTC 2020,1,Sat 22 Feb 16:21:32 EST 2020,2,Sat 22 Feb 2020 04:21:38 PM EST
3356,root,,1,Sat 22 Feb 16:54:42 EST 2020,1,Sat 22 Feb 16:55:10 EST 2020,1,Sat 22 Feb 16:54:20 EST 2020,4,Sat 22 Feb 16:55:11 EST 2020,9,Sat 22 Feb 16:55:05 EST 2020,8,Sat 22 Feb 16:54:55 EST 2020,1,Sat 22 Feb 16:54:07 EST 2020,4,Sat 22 Feb 16:54:30 EST 2020,4,Sat 22 Feb 16:54:58 EST 2020
3353,root,,1,Sat 22 Feb 16:45:59 EST 2020,9,Sat 22 Feb 16:45:37 EST 2020,1,Sat 22 Feb 16:45:28 EST 2020,9,Sat 22 Feb 16:45:50 EST 2020,8,Sat 22 Feb 16:45:36 EST 2020,10,Sat 22 Feb 16:45:48 EST 2020,1,Sat 22 Feb 16:45:15 EST 2020,1,Sat 22 Feb 16:45:02 EST 2020,9,Sat 22 Feb 16:45:24 EST 2020
3357,root,,3,Sat Feb 22 21:57:48 UTC 2020,1,Sat 22 Feb 16:57:38 EST 2020,7,Sat 22 Feb 16:58:19 EST 2020,1,Sat 22 Feb 16:57:50 EST 2020,3,Sat Feb 22 21:58:04 UTC 2020,1,Sat 22 Feb 16:56:58 EST 2020,9,Sat 22 Feb 16:58:17 EST 2020,7,Sat 22 Feb 16:57:22 EST 2020,1,Sat 22 Feb 16:57:25 EST 2020
3349,root,,7,Sat 22 Feb 16:33:39 EST 2020,8,Sat 22 Feb 16:33:51 EST 2020,1,Sat 22 Feb 16:33:12 EST 2020,2,Sat 22 Feb 2020 04:33:53 PM EST,1,Sat 22 Feb 16:33:28 EST 2020,9,Sat 22 Feb 16:33:27 EST 2020,9,Sat 22 Feb 16:33:08 EST 2020,1,Sat 22 Feb 16:32:51 EST 2020,8,Sat 22 Feb 16:33:38 EST 2020
