pi1_time,pi1_time,pi1_time,pi2_parent,pi2_time,pi3_parent,pi3_time,pi4_parent,pi4_time,pi5_parent,pi5_time,pi6_parent,pi6_time,pi7_parent,pi7_time,pi8_parent,pi8_time,pi9_parent,pi9_time,pi10_parent,pi10_time
2757,root,,10,Wed 19 Feb 11:17:57 EST 2020,7,Wed 19 Feb 11:17:42 EST 2020,1,Wed 19 Feb 11:17:27 EST 2020,4,Wed 19 Feb 11:17:55 EST 2020,8,Wed 19 Feb 11:17:50 EST 2020,8,Wed 19 Feb 11:17:27 EST 2020,1,Wed 19 Feb 11:17:14 EST 2020,7,Wed 19 Feb 11:18:08 EST 2020,4,Wed 19 Feb 11:17:42 EST 2020
2779,root,,7,Wed 19 Feb 12:25:13 EST 2020,9,Wed 19 Feb 12:25:39 EST 2020,6,Wed 19 Feb 12:25:33 EST 2020,1,Wed 19 Feb 12:25:42 EST 2020,1,Wed 19 Feb 12:24:39 EST 2020,1,Wed 19 Feb 12:24:23 EST 2020,1,Wed 19 Feb 12:25:22 EST 2020,7,Wed 19 Feb 12:24:51 EST 2020,9,Wed 19 Feb 12:25:26 EST 2020
2765,root,,4,Wed 19 Feb 11:41:26 EST 2020,8,Wed 19 Feb 11:40:51 EST 2020,8,Wed 19 Feb 11:40:36 EST 2020,1,Wed 19 Feb 11:40:55 EST 2020,10,Wed 19 Feb 11:41:11 EST 2020,4,Wed 19 Feb 11:40:54 EST 2020,1,Wed 19 Feb 11:40:27 EST 2020,7,Wed 19 Feb 11:41:10 EST 2020,1,Wed 19 Feb 11:40:42 EST 2020
2783,root,,10,Wed 19 Feb 12:37:27 EST 2020,1,Wed 19 Feb 12:36:52 EST 2020,10,Wed 19 Feb 12:37:13 EST 2020,1,Wed 19 Feb 12:37:05 EST 2020,4,Wed 19 Feb 12:37:34 EST 2020,5,Wed 19 Feb 11:31:14 EST 2020,10,Wed 19 Feb 12:37:01 EST 2020,3,Wed Feb 19 17:37:37 UTC 2020,1,Wed 19 Feb 12:36:40 EST 2020
2772,root,,8,Wed 19 Feb 12:02:39 EST 2020,6,Wed 19 Feb 12:03:46 EST 2020,1,Wed 19 Feb 12:02:36 EST 2020,8,Wed 19 Feb 12:03:47 EST 2020,8,Wed 19 Feb 12:03:17 EST 2020,8,Wed 19 Feb 12:02:53 EST 2020,1,Wed 19 Feb 12:02:23 EST 2020,1,Wed 19 Feb 12:02:58 EST 2020,9,Wed 19 Feb 12:03:44 EST 2020
2756,root,,7,Wed 19 Feb 11:15:19 EST 2020,1,Wed 19 Feb 11:15:14 EST 2020,1,Wed 19 Feb 11:14:50 EST 2020,4,Wed 19 Feb 11:15:24 EST 2020,1,Wed 19 Feb 11:14:10 EST 2020,9,Wed 19 Feb 11:14:49 EST 2020,1,Wed 19 Feb 11:14:37 EST 2020,6,Wed 19 Feb 11:14:26 EST 2020,4,Wed 19 Feb 11:15:11 EST 2020
2790,root,,1,Wed 19 Feb 12:57:52 EST 2020,2,Wed 19 Feb 2020 12:58:56 PM EST,8,Wed 19 Feb 12:58:50 EST 2020,9,Wed 19 Feb 12:58:58 EST 2020,2,Wed 19 Feb 2020 12:58:13 PM EST,8,Wed 19 Feb 12:59:08 EST 2020,6,Wed 19 Feb 12:58:38 EST 2020,1,Wed 19 Feb 12:58:29 EST 2020,9,Wed 19 Feb 12:58:45 EST 2020
2776,root,,1,Wed 19 Feb 12:14:58 EST 2020,9,Wed 19 Feb 12:15:47 EST 2020,1,Wed 19 Feb 12:15:30 EST 2020,7,Wed 19 Feb 12:15:48 EST 2020,8,Wed 19 Feb 12:15:30 EST 2020,2,Wed 19 Feb 2020 12:15:11 PM EST,1,Wed 19 Feb 12:15:18 EST 2020,7,Wed 19 Feb 12:15:28 EST 2020,6,Wed 19 Feb 12:15:44 EST 2020
2763,root,,1,Wed 19 Feb 11:34:30 EST 2020,4,Wed 19 Feb 11:35:41 EST 2020,2,Wed 19 Feb 2020 11:35:12 AM EST,8,Wed 19 Feb 11:35:50 EST 2020,1,Wed 19 Feb 11:34:52 EST 2020,1,Wed 19 Feb 11:35:39 EST 2020,2,Wed 19 Feb 2020 11:34:59 AM EST,8,Wed 19 Feb 11:35:16 EST 2020,8,Wed 19 Feb 11:35:37 EST 2020
2770,root,,10,Wed 19 Feb 11:57:19 EST 2020,1,Wed 19 Feb 11:56:18 EST 2020,5,Wed 19 Feb 10:50:49 EST 2020,1,Wed 19 Feb 11:56:31 EST 2020,3,Wed Feb 19 16:57:00 UTC 2020,3,Wed Feb 19 16:56:37 UTC 2020,10,Wed 19 Feb 11:56:47 EST 2020,7,Wed 19 Feb 11:56:52 EST 2020,1,Wed 19 Feb 11:56:06 EST 2020
2775,root,,4,Wed 19 Feb 12:12:35 EST 2020,1,Wed 19 Feb 12:12:50 EST 2020,1,Wed 19 Feb 12:12:03 EST 2020,6,Wed 19 Feb 12:12:58 EST 2020,8,Wed 19 Feb 12:12:19 EST 2020,2,Wed 19 Feb 2020 12:12:49 PM EST,1,Wed 19 Feb 12:11:50 EST 2020,8,Wed 19 Feb 12:12:55 EST 2020,1,Wed 19 Feb 12:12:37 EST 2020
2767,root,,1,Wed 19 Feb 11:46:27 EST 2020,1,Wed 19 Feb 11:47:04 EST 2020,2,Wed 19 Feb 2020 11:47:04 AM EST,1,Wed 19 Feb 11:47:17 EST 2020,9,Wed 19 Feb 11:47:30 EST 2020,10,Wed 19 Feb 11:47:24 EST 2020,2,Wed 19 Feb 2020 11:46:51 AM EST,4,Wed 19 Feb 11:47:17 EST 2020,1,Wed 19 Feb 11:46:51 EST 2020
2769,root,,9,Wed 19 Feb 11:53:14 EST 2020,1,Wed 19 Feb 11:54:00 EST 2020,1,Wed 19 Feb 11:53:42 EST 2020,7,Wed 19 Feb 11:54:01 EST 2020,1,Wed 19 Feb 11:53:02 EST 2020,9,Wed 19 Feb 11:53:28 EST 2020,6,Wed 19 Feb 11:53:37 EST 2020,1,Wed 19 Feb 11:52:32 EST 2020,6,Wed 19 Feb 11:53:54 EST 2020
2758,root,,1,Wed 19 Feb 11:20:41 EST 2020,8,Wed 19 Feb 11:20:46 EST 2020,1,Wed 19 Feb 11:20:05 EST 2020,6,Wed 19 Feb 11:20:50 EST 2020,7,Wed 19 Feb 11:20:24 EST 2020,8,Wed 19 Feb 11:20:11 EST 2020,1,Wed 19 Feb 11:19:52 EST 2020,4,Wed 19 Feb 11:21:11 EST 2020,8,Wed 19 Feb 11:20:34 EST 2020
2780,root,,10,Wed 19 Feb 12:28:22 EST 2020,1,Wed 19 Feb 12:28:03 EST 2020,10,Wed 19 Feb 12:29:02 EST 2020,1,Wed 19 Feb 12:28:16 EST 2020,2,Wed 19 Feb 2020 12:28:50 PM EST,1,Wed 19 Feb 12:28:34 EST 2020,1,Wed 19 Feb 12:28:52 EST 2020,5,Wed 19 Feb 11:22:46 EST 2020,1,Wed 19 Feb 12:27:50 EST 2020
